Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 3310
  Max. Abs. off-diag.  = 0.00999786
  time spent           = 0.595701 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
+3.629691e-03 | +1.369077e-01
-4.003398e-03 | +1.393433e-01
+9.195861e-03 | -1.405664e-01
-9.943584e-03 | +1.405664e-01
+5.556549e-03 | +1.393433e-01
-1.977475e-03 | +1.369077e-01
-7.751751e-03 | -1.332808e-01
+1.021448e-02 | -1.284943e-01
-1.286929e-02 | +1.225896e-01
+1.569961e-02 | +1.156183e-01
-1.725106e-02 | -1.076409e-01
+1.427705e-02 | -9.872696e-02
-7.630639e-03 | +8.895393e-02
-6.954527e-03 | -7.840688e-02
+2.144077e-02 | -6.717760e-02
-4.710530e-02 | +5.536378e-02
+8.103725e-02 | +4.306823e-02
-1.120079e-01 | +3.039792e-02
+1.450149e-01 | -1.746312e-02
-1.737707e-01 | +4.376357e-03
+2.011970e-01 | -8.748481e-03
-2.223280e-01 | -2.179720e-02
+2.441909e-01 | +3.465625e-02
-2.616583e-01 | -4.721374e-02
+2.774098e-01 | -5.936042e-02
-2.828873e-01 | -7.099058e-02
+2.844734e-01 | +8.200303e-02
-2.795719e-01 | +9.230195e-02
+2.733516e-01 | -1.017977e-01
-2.665455e-01 | -1.104077e-01
+2.553511e-01 | +1.180570e-01
-2.379022e-01 | +1.246791e-01
+2.114775e-01 | -1.302163e-01
-1.767553e-01 | -1.346204e-01
+1.464634e-01 | +1.378532e-01
-1.135699e-01 | +1.398864e-01
+8.060732e-02 | -1.407025e-01
-5.282501e-02 | -1.402943e-01
+3.157764e-02 | +1.386653e-01
-7.557924e-03 | +1.358297e-01
-6.469390e-03 | -1.318123e-01
+1.494390e-02 | +1.266479e-01
-2.217375e-02 | +1.203816e-01
+2.236660e-02 | -1.130677e-01
-2.120736e-02 | -1.047700e-01
+1.845753e-02 | -9.556068e-02
-9.503896e-03 | +8.551985e-02
-3.602448e-03 | +7.473488e-02
+1.130703e-02 | -6.329963e-02
-1.588381e-02 | -5.131358e-02
+1.234348e-02 | +3.888104e-02
-6.114466e-03 | +2.611019e-02
+3.249867e-03 | -1.311214e-02

eigenvalue = -3.980191e+00:
    Jacobi    |    Armadillo
-7.518118e-03 | +1.746312e-02
+1.310764e-02 | -3.465625e-02
-9.370836e-03 | +5.131358e-02
+6.522360e-03 | +6.717760e-02
-5.106070e-03 | +8.200303e-02
-2.486076e-03 | -9.556068e-02
+8.420924e-03 | -1.076409e-01
-8.622522e-03 | +1.180570e-01
+6.193284e-03 | +1.266479e-01
-4.968653e-03 | -1.332808e-01
-9.208341e-04 | -1.378532e-01
+6.560666e-03 | +1.402943e-01
-5.882904e-03 | +1.405664e-01
+6.117915e-03 | -1.386653e-01
-2.512335e-03 | -1.346204e-01
+1.197683e-03 | +1.284943e-01
-1.888724e-03 | -1.203816e-01
-2.928008e-03 | -1.104077e-01
+3.450393e-03 | +9.872696e-02
-6.365181e-03 | +8.551985e-02
+5.502835e-03 | +7.099058e-02
-5.772797e-04 | -5.536378e-02
+2.300766e-03 | +3.888104e-02
-2.267928e-03 | +2.179720e-02
-1.778756e-03 | +4.376357e-03
+2.089957e-03 | +1.311214e-02
-7.281581e-03 | +3.039792e-02
+8.317138e-03 | -4.721374e-02
-8.239738e-03 | -6.329963e-02
+6.234425e-03 | +7.840688e-02
-1.862948e-03 | +9.230195e-02
-5.723880e-03 | -1.047700e-01
+1.632694e-02 | -1.156183e-01
-2.342313e-02 | +1.246791e-01
+2.352896e-02 | +1.318123e-01
-2.161977e-02 | -1.369077e-01
+1.234844e-02 | +1.398864e-01
+5.688282e-03 | +1.407025e-01
-1.523784e-02 | -1.393433e-01
+1.675610e-02 | -1.358297e-01
-1.330737e-02 | -1.302163e-01
+8.916353e-03 | +1.225896e-01
-5.746721e-03 | +1.130677e-01
+1.025743e-04 | -1.017977e-01
+3.272733e-03 | +8.895393e-02
-1.013413e-02 | +7.473488e-02
+9.919567e-03 | -5.936042e-02
-1.012694e-02 | -4.306823e-02
+1.159155e-02 | -2.611019e-02
-9.952346e-03 | +8.748481e-03
+9.011446e-03 | +8.748481e-03
-3.381993e-03 | +2.611019e-02
-7.260387e-03 | +4.306823e-02
+1.458362e-02 | -5.936042e-02
-2.235735e-02 | -7.473488e-02
+2.660270e-02 | +8.895393e-02
-2.845563e-02 | +1.017977e-01
+2.850914e-02 | -1.130677e-01
-2.012514e-02 | -1.225896e-01
+1.648077e-03 | +1.302163e-01
+1.591189e-02 | -1.358297e-01
-3.187828e-02 | -1.393433e-01
+4.643979e-02 | +1.407025e-01
-5.447706e-02 | +1.398864e-01
+6.514670e-02 | +1.369077e-01
-7.438144e-02 | -1.318123e-01
+8.228325e-02 | +1.246791e-01
-8.778984e-02 | +1.156183e-01
+8.751089e-02 | +1.047700e-01
-8.408938e-02 | -9.230195e-02
+7.096544e-02 | +7.840688e-02
-5.731042e-02 | +6.329963e-02
+4.533164e-02 | +4.721374e-02
-2.818302e-02 | -3.039792e-02
+5.379312e-03 | -1.311214e-02
+2.080515e-02 | -4.376357e-03
-4.894442e-02 | -2.179720e-02
+6.928876e-02 | +3.888104e-02
-8.919604e-02 | +5.536378e-02
+1.097293e-01 | -7.099058e-02
-1.313238e-01 | -8.551985e-02
+1.474690e-01 | +9.872696e-02
-1.615935e-01 | +1.104077e-01
+1.907943e-01 | -1.203816e-01
-2.188211e-01 | -1.284943e-01
+2.439868e-01 | +1.346204e-01
